City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
2,Flinders,AU,54.18,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
4,Shingu,JP,74.43,overcast clouds,33.7333,135.9833,Shingu UI Hotel
5,Busselton,AU,53.35,light rain,-33.65,115.3333,Observatory Guest House
7,Bredasdorp,ZA,56.95,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
8,East London,ZA,71.73,clear sky,-33.0153,27.9116,Tu Casa
10,Mataura,NZ,51.48,broken clouds,-46.1927,168.8643,Ellie's Villa
12,Atuona,PF,77.74,few clouds,-9.8,-139.0333,Villa Enata
14,Ketchikan,US,57.67,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
15,Severo-Kurilsk,RU,53.55,overcast clouds,50.6789,156.125,Kak Doma
16,Mombetsu,JP,63.18,overcast clouds,44.3525,143.3525,Okhotsk Palace Hotel
18,Port Elizabeth,ZA,77.09,clear sky,-33.918,25.5701,39 On Nile Guest House
19,Bluff,NZ,51.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
22,Alyangula,AU,67.95,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
24,Xinzhou,CN,69.6,overcast clouds,38.4092,112.7333,Shell Hotel - Xinzhou
25,San Quintin,MX,73.02,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
26,Mar Del Plata,AR,57.94,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
27,Hithadhoo,MV,77.5,overcast clouds,-0.6,73.0833,Scoop Guest House
28,Labuhan,ID,78.13,light rain,-6.8844,112.2051,DoubleFAG
30,At-Bashi,KG,61.83,clear sky,41.1702,75.8106,Hostel At-Bashy
31,Onega,RU,61.41,overcast clouds,63.9061,38.1404,Lunny Kot Guest House
32,Tuktoyaktuk,CA,55.4,broken clouds,69.4541,-133.0374,End of The Road Ltd.
36,Rikitea,PF,73.96,overcast clouds,-23.1203,-134.9692,People ThankYou
38,Chuy,UY,51.76,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
40,Hermanus,ZA,61.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
42,Souillac,MU,70.21,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
43,Kapaa,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Port Shepstone,ZA,67.3,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
47,Castro,BR,69.71,light rain,-24.7911,-50.0119,CHACARA BAILLY
48,Asau,RO,69.28,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
49,Sungurlu,TR,73.08,scattered clouds,40.1675,34.3739,Sungurlu Ogretmenevi
50,Narsaq,GL,59.22,clear sky,60.9167,-46.05,Sleep In Narsaq
51,Lebu,CL,50.13,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
53,Riviere-Au-Renard,CA,66.49,scattered clouds,48.9957,-64.3971,Auberge Le Caribou
56,Ruteng,ID,59.83,broken clouds,-8.6136,120.4721,Hotel FX 72
57,Hasaki,JP,77.29,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
59,Yerofey Pavlovich,RU,62.28,scattered clouds,53.9667,121.9667,lounges and warm parking
62,Poronaysk,RU,54.14,overcast clouds,49.2167,143.1167,Avtovokzal Khostel Stolovaya
64,Camana,PE,63.7,scattered clouds,-16.6228,-72.7111,Hostal Morales
65,Keuruu,FI,55.8,light rain,62.2667,24.7,Hostelli Nonna
66,Churapcha,RU,69.17,scattered clouds,62.0025,132.4325,"""Tusku"""
69,Morondava,MG,74.86,few clouds,-20.2833,44.2833,La Case Bambou
70,Karratha,AU,66.24,clear sky,-20.7377,116.8463,ibis Styles Karratha
71,Sao Filipe,CV,76.24,scattered clouds,14.8961,-24.4956,Hotel Xaguate
72,Port Alfred,ZA,67.17,clear sky,-33.5906,26.891,The Halyards Hotel
73,Tasiilaq,GL,50.16,overcast clouds,65.6145,-37.6368,The Red House
74,Novaya Igirma,RU,51.98,clear sky,57.1334,103.9112,Tayga
75,Half Moon Bay,US,79.88,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
77,Vicente Guerrero,MX,67.39,overcast clouds,19.1194,-98.1708,Instituto De Seguridad Y Servicios Sociales De Los Trabajadores Del Estado
79,Ornskoldsvik,SE,59.95,overcast clouds,63.2909,18.7153,ファーストホテル スタット
80,Bongaree,AU,60.4,overcast clouds,-27.0797,153.1586,The Gums Anchorage
81,Ilave,PE,55.24,scattered clouds,-16.0833,-69.6667,Hostal Magestad
83,Gold Coast,AU,61.0,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
85,Coracora,PE,63.1,clear sky,-15.0333,-73.7833,Hotel Universo
86,Saldanha,ZA,57.83,clear sky,-33.0117,17.9442,Blue Bay Lodge
87,Vilyuysk,RU,61.43,broken clouds,63.7553,121.6247,Gostinitsa Viliuisk
88,Bambous Virieux,MU,69.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
89,Norman Wells,CA,65.7,overcast clouds,65.282,-126.8329,Heritage Hotel
93,Raudeberg,NO,57.87,broken clouds,61.9875,5.1352,Nordre Silda.
95,Lumut,MY,79.66,broken clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
96,Tikhvin,RU,61.68,overcast clouds,59.6451,33.5294,"Gostinitsa ""Staryy Dom"""
99,Indramayu,ID,79.16,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
100,Nagato,JP,77.68,overcast clouds,34.3833,131.2,いそう庵
102,Komatipoort,ZA,60.04,clear sky,-25.4332,31.9548,Kruger View Backpackers
103,Wadi Musa,JO,76.12,clear sky,30.3222,35.4793,Petra Palace Hotel
105,Dunedin,NZ,51.58,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
107,Quito,EC,63.55,light rain,-0.2299,-78.5249,Hotel Boutique Plaza Sucre
109,Mahebourg,MU,69.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
110,Kodiak,US,60.31,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
112,Nouadhibou,MR,69.85,clear sky,20.931,-17.0347,El Medina
113,Avarua,CK,71.65,light rain,-21.2078,-159.775,Paradise Inn
115,Namibe,AO,66.67,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
118,Rocha,UY,52.68,clear sky,-34.4833,-54.3333,Hotel Arrarte
122,Sitka,US,55.29,moderate rain,57.0531,-135.33,Westmark Sitka
123,Tazovskiy,RU,58.55,overcast clouds,67.4667,78.7,TazHostel
124,Kelo,TD,72.03,overcast clouds,9.3086,15.8066,Plantation de Kelo
125,Esperance,AU,54.64,moderate rain,-33.8667,121.9,Hospitality Esperance
126,Cape Town,ZA,61.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
128,Port Hardy,CA,55.58,light intensity drizzle,50.6996,-127.4199,Airport Inn-Port Hardy
130,Goderich,CA,74.91,overcast clouds,43.7501,-81.7165,Harmony Inn
131,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,Mercure Padang
134,Jumla,NP,63.99,broken clouds,29.2747,82.1838,Royal Garden Hotel
140,Geraldton,AU,54.01,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
141,Fukue,JP,78.3,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
143,Soe,ID,60.93,scattered clouds,-9.8607,124.284,Dena Hotel
144,Stornoway,GB,67.03,scattered clouds,58.2093,-6.3865,Caladh Inn
146,Kruisfontein,ZA,74.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
147,Tevriz,RU,61.54,overcast clouds,57.509,72.4042,Postoyalyy Dvor
148,Ponta Do Sol,PT,79.12,scattered clouds,32.6667,-17.1,Hotel do Campo
149,Khatanga,RU,57.87,overcast clouds,71.9667,102.5,"""Khatanga"""
151,Naldurg,IN,76.26,light rain,17.8167,76.3,Chacha biryani hotel
152,Balkhash,KZ,74.89,clear sky,46.844,74.9804,Family
153,Ambilobe,MG,72.34,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
155,Namatanai,PG,78.84,light rain,-3.6667,152.4333,Seagulls Inn Namatani
157,Carnarvon,AU,67.23,few clouds,-24.8667,113.6333,Hospitality Carnarvon
158,Savannakhet,LA,78.53,few clouds,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์ (Riverfront Hotel)
159,Nome,US,51.87,clear sky,64.5011,-165.4064,Dredge 7 Inn
160,Menongue,AO,62.85,clear sky,-14.6585,17.691,Ritz Lauca
161,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
162,Bintulu,MY,77.27,overcast clouds,3.1667,113.0333,900 Boutique INN
164,Mount Isa,AU,51.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
165,Saint-Philippe,RE,69.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
174,Vila,PT,72.48,few clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
175,Eskisehir,TR,75.11,few clouds,39.7767,30.5206,Hotel ibis Eskisehir
176,Copiapo,CL,58.69,clear sky,-27.3667,-70.3333,Antay Casino Hotel
177,Fort Nelson,CA,70.61,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
179,Guerrero Negro,MX,74.55,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
180,Dzaoudzi,YT,75.09,moderate rain,-12.7887,45.2699,Le Rocher
181,Hegra,NO,55.31,broken clouds,63.4644,11.114,Hembre Gård
183,Tocopilla,CL,65.75,clear sky,-22.092,-70.1979,Hotel Galvarino
184,Thaton,MM,79.3,broken clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
187,Hualmay,PE,65.64,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
188,Port Keats,AU,64.69,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
190,Port Moresby,PG,74.62,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
192,Hay River,CA,70.34,overcast clouds,60.8156,-115.7999,Ptarmigan Inn
195,Honningsvag,NO,51.55,broken clouds,70.9821,25.9704,Nordkapp Vandrerhjem
197,Isangel,VU,73.89,broken clouds,-19.55,169.2667,Tanna Lodge
198,Honiara,SB,76.03,broken clouds,-9.4333,159.95,Heritage Park Hotel
200,Prince Rupert,CA,55.49,overcast clouds,54.3161,-130.3201,Crest Hotel
202,Vardo,NO,57.18,clear sky,70.3705,31.1107,Vardø Hotel AS
203,Cidreira,BR,57.34,clear sky,-30.1811,-50.2056,Hotel Castelo
205,Kawalu,ID,72.3,overcast clouds,-7.3817,108.2082,West Jontor
206,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
209,Hovd,MN,68.9,broken clouds,48.0056,91.6419,Hotel Khovd
211,Valparai,IN,63.82,heavy intensity rain,10.3667,76.9667,Hotel Holiday Break
214,Torbay,CA,77.76,broken clouds,47.6666,-52.7314,Gallows Cove
216,Olafsvik,IS,51.21,broken clouds,64.8945,-23.7142,Hotel Olafsvik
218,Port Lincoln,AU,53.78,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
220,Chapais,CA,75.99,broken clouds,49.7834,-74.8492,Hôtel Opémiska
221,Nikolskoye,RU,58.91,overcast clouds,59.7035,30.7861,Tourist House - Sablino
225,Bandarbeyla,SO,77.31,few clouds,9.4942,50.8122,JABIR HOTEL
226,Amherst,US,74.73,light rain,41.3978,-82.2224,Days Inn by Wyndham Amherst
227,Porto Novo,BJ,79.54,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
228,Loviisa,FI,56.28,overcast clouds,60.4566,26.2251,Loviisa Camping
229,Emerald,AU,57.34,broken clouds,-23.5333,148.1667,The Irish Village
230,Nelson Bay,AU,57.99,clear sky,-32.7167,152.15,Mantra Nelson Bay
231,Portland,US,70.0,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
236,Nakhon Phanom,TH,78.71,scattered clouds,17.3333,104.4167,ป่ายางรีสอร์ท
237,Abay,KZ,64.78,scattered clouds,49.6311,72.8539,Guest House on Abaya 144
238,Zhigansk,RU,55.36,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
240,Seydisehir,TR,74.53,clear sky,37.4193,31.8453,Otel KüçükKonak
241,Alofi,NU,71.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
247,Zheleznodorozhnyy,RU,68.18,overcast clouds,55.7503,38.0042,Hotel Dali
249,Yatou,CN,73.09,light rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
251,Praia Da Vitoria,PT,79.05,broken clouds,38.7333,-27.0667,Hotel Branco I
252,Abalak,RU,60.6,overcast clouds,58.1286,68.5944,Туристический комплекс Абалак
255,Auki,SB,76.68,scattered clouds,-8.7676,160.7034,Auki Motel
256,Lagoa,PT,70.9,scattered clouds,39.05,-27.9833,Casa Das Faias
257,Ensenada,MX,70.95,scattered clouds,31.8667,-116.6167,Best Western El Cid
260,Kyshtovka,RU,54.95,clear sky,56.555,76.6271,Uyutnaya Mini-Hotel
261,Sapucaia,BR,57.33,broken clouds,-29.8333,-51.15,Sitio Dalcarobo
267,Megion,RU,59.02,broken clouds,61.0296,76.1136,Komfort Hotel
268,Belmonte,BR,78.37,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
270,Talnakh,RU,58.21,overcast clouds,69.4865,88.3972,Talnakh Hotel
271,Abu Zabad,SD,76.24,moderate rain,12.35,29.25,حامد محمد نور
273,Chiredzi,ZW,64.31,broken clouds,-21.05,31.6667,Clevers Hotel Chiredzi
274,Khani,GE,65.77,broken clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
275,Faya,SA,75.31,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
277,Cotonou,BJ,78.64,broken clouds,6.3654,2.4183,Novotel Cotonou Orisha
278,Rurrenabaque,BO,63.66,overcast clouds,-14.4413,-67.5278,Casa de Campo
279,Bairiki,KI,78.8,moderate rain,1.3292,172.9752,Tarawa Boutique Hotel
280,Mogadishu,SO,76.53,light rain,2.0371,45.3438,Hotel Juba
283,Yellowknife,CA,61.18,overcast clouds,62.456,-114.3525,The Explorer Hotel
284,Katsuura,JP,76.77,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
285,Bahia Blanca,AR,58.05,overcast clouds,-38.7196,-62.2724,Hotel Argos
287,Navahrudak,BY,58.01,scattered clouds,53.6,25.8333,Hotel Grazhina
288,Chumikan,RU,51.71,overcast clouds,54.7183,135.315,Fortuna
289,Haflong,IN,74.43,overcast clouds,25.1833,93.0333,Ngahsy te in
290,Krasnoarmeysk,RU,72.93,few clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
291,Vao,NC,70.07,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
292,Kirkwall,GB,60.85,broken clouds,58.9848,-2.9587,Kirkwall Hotel
293,Talas,TR,74.07,broken clouds,38.6908,35.5538,Fimaj Residence
294,Kovdor,RU,60.64,moderate rain,67.5662,30.4758,Derevo Zhelaniy
296,Mulanje,MW,62.4,overcast clouds,-16.0316,35.5,Mulanje Motel
297,Ngawi,ID,74.89,overcast clouds,-7.4038,111.4461,"""G.W.A. KOST"" NGAWI (dpn Klurahan KETANGGI)"
300,Kuandian,CN,64.67,overcast clouds,40.7286,124.7847,Hi Inn Dandong Kuandian Ji Xian Garden
301,Makakilo City,US,77.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
302,Obihiro,JP,62.73,broken clouds,42.9172,143.2044,Tokachi Gardens Hotel
304,Nemuro,JP,62.76,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
306,Rio Grande,BR,57.31,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
309,Palu,ID,75.2,moderate rain,-0.8917,119.8707,Hotel Santika Palu
311,Samarai,PG,78.96,scattered clouds,-10.6167,150.6667,Nuli Sapi
314,Moen,NO,51.87,broken clouds,69.1304,18.6123,Buktamo Eiendom AS
317,Tura,IN,76.96,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
319,Hofn,IS,55.92,scattered clouds,64.2539,-15.2082,Hótel Höfn
320,Fortuna,US,58.98,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
