,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
458,Bengkulu,ID,-3.8004,102.2655,76.87,90,71,3.2,broken clouds
459,Batagay,RU,67.6333,134.6333,52.93,73,97,1.3,overcast clouds
460,Chifeng,CN,42.2683,118.9636,64.67,77,0,3.15,clear sky
461,Banda Aceh,ID,5.5577,95.3222,80.06,81,81,4.56,broken clouds
462,Bangui,CF,4.3612,18.555,72.91,94,82,3.58,light rain
463,Kochevo,RU,59.5994,54.3125,62.8,72,29,3.38,scattered clouds
464,Itarema,BR,-2.9248,-39.9167,85.01,63,46,16.4,scattered clouds
465,College,US,64.8569,-147.8028,59.07,79,100,4.61,light rain
466,Hambantota,LK,6.1241,81.1185,80.85,78,100,16.67,overcast clouds
467,Abnub,EG,27.2696,31.1511,91.62,17,2,11.05,clear sky
468,Porto Nacional,BR,-10.7081,-48.4172,91.4,20,21,6.87,few clouds
469,Caborca,MX,30.5838,-111.101,86.5,45,62,4.03,broken clouds
470,Batagay-Alyta,RU,67.8006,130.4114,48.92,82,100,0.85,overcast clouds
471,Gobabis,NA,-22.45,18.9667,57.15,32,0,11.39,clear sky
472,Kamien Pomorski,PL,53.9685,14.7726,68.36,63,57,11.5,broken clouds
473,Purranque,CL,-40.9167,-73.1667,44.28,96,99,4.52,overcast clouds
474,Bacungan,PH,9.9106,118.7022,79.2,84,100,5.1,overcast clouds
475,Yumen,CN,40.2833,97.2,77.61,35,98,11.56,overcast clouds
476,Kilindoni,TZ,-7.9139,39.6668,76.5,75,62,19.04,broken clouds
477,Vanavara,RU,60.34,102.2797,52.38,89,72,3.38,broken clouds
478,Port Said,EG,31.2565,32.2841,82.38,78,0,10.36,clear sky
479,Mahibadhoo,MV,3.7833,72.9667,82.18,80,99,16.84,light rain
480,Whitehorse,CA,60.7161,-135.0538,53.02,87,75,17.27,broken clouds
481,Turbat,PK,26.0023,63.044,94.95,49,97,3.24,light rain
482,Harper,LR,4.375,-7.7169,76.77,77,100,11.03,overcast clouds
483,Tateyama,JP,34.9833,139.8667,76.1,90,35,16.17,scattered clouds
484,Sabang,ID,5.8933,95.3214,82.65,74,74,5.97,broken clouds
485,Orkney,ZA,-26.9802,26.6727,57.02,27,0,2.39,clear sky
486,Trat,TH,12.5,102.5,82.9,90,100,2.13,overcast clouds
487,Buraydah,SA,26.326,43.975,99.05,9,77,8.48,broken clouds
488,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,52.39,100,100,4.47,fog
489,Slave Lake,CA,55.2834,-114.769,66.18,68,75,5.75,broken clouds
490,Seydi,TM,39.4816,62.9137,95.68,11,0,12.01,clear sky
491,Vestmanna,FO,62.1564,-7.1664,49.12,93,100,10.36,overcast clouds
492,Quatre Cocos,MU,-20.2078,57.7625,69.91,65,57,23.26,broken clouds
493,Lusambo,CD,-4.9667,23.45,83.8,34,53,2.37,broken clouds
494,Phayakkhaphum Phisai,TH,15.5163,103.1937,82.42,79,66,6.76,broken clouds
495,Nanortalik,GL,60.1432,-45.2371,43.81,80,59,12.21,broken clouds
496,Bristol,US,41.8334,-71.1662,91.22,63,40,7.0,scattered clouds
497,Russell,US,32.3502,-85.1999,92.91,58,20,3.44,few clouds
498,Ahipara,NZ,-35.1667,173.1667,48.13,84,91,5.28,overcast clouds
499,Dicabisagan,PH,17.0818,122.4157,79.48,88,48,2.89,scattered clouds
500,Port Macquarie,AU,-31.4333,152.9167,54.9,79,39,6.51,scattered clouds
501,Mitsamiouli,KM,-11.3847,43.2844,77.29,69,20,13.8,few clouds
502,Pervomayskoye,RU,43.919,46.7102,88.99,24,0,6.96,clear sky
503,Gunjur,GM,13.2019,-16.7339,81.34,74,82,13.69,broken clouds
504,Gomel,BY,52.4345,30.9754,57.83,94,75,2.24,light rain
505,Dingle,PH,10.9995,122.6711,75.11,94,100,2.82,overcast clouds
506,Mandalgovi,MN,45.7625,106.2708,68.9,32,90,8.59,overcast clouds
507,La Ronge,CA,55.1001,-105.2842,77.22,46,75,8.05,broken clouds
508,Bonthe,SL,7.5264,-12.505,76.95,90,92,9.91,moderate rain
509,Seoul,KR,37.5683,126.9778,74.77,88,20,4.61,few clouds
510,Meulaboh,ID,4.1363,96.1285,78.17,85,69,2.33,broken clouds
511,Xudat,AZ,41.631,48.681,81.1,52,0,4.36,clear sky
512,Batemans Bay,AU,-35.7167,150.1833,52.11,67,61,7.31,broken clouds
513,Otradnoye,RU,59.7775,30.8181,59.09,93,97,7.18,overcast clouds
514,Domoni,KM,-12.2569,44.5319,75.6,76,64,8.3,broken clouds
515,Bogorodskoye,RU,56.55,37.8833,61.3,70,100,2.1,overcast clouds
516,Coquimbo,CL,-29.9533,-71.3436,56.93,62,0,11.5,clear sky
517,Markova,UA,48.6758,24.4138,60.8,53,92,8.01,overcast clouds
518,Sechura,PE,-5.5569,-80.8222,73.94,58,4,10.8,clear sky
519,Itumba,TZ,-9.4,33.1833,54.37,93,31,5.48,scattered clouds
520,Xining,CN,36.6167,101.7667,53.22,91,100,1.01,overcast clouds
521,Vitim,RU,59.4511,112.5578,56.71,73,100,3.0,overcast clouds
522,San Cristobal,VE,7.7669,-72.225,80.78,63,86,6.55,overcast clouds
523,Riyadh,SA,24.6877,46.7219,100.54,11,97,7.05,overcast clouds
524,Bani Walid,LY,31.7566,13.9942,89.51,27,0,20.62,clear sky
525,Belfast,GB,54.5833,-5.9333,75.79,56,99,9.22,overcast clouds
526,San Francisco Del Mar,MX,16.2333,-94.65,86.18,62,99,10.85,overcast clouds
527,Wanaka,NZ,-44.7,169.15,42.12,97,100,1.99,overcast clouds
528,Nabire,ID,-3.3667,135.4833,74.26,96,100,2.21,overcast clouds
529,Iguape,BR,-24.7081,-47.5553,68.05,74,99,9.62,overcast clouds
530,Tabou,CI,4.423,-7.3528,76.87,78,99,11.32,overcast clouds
531,Amapa,BR,1.0,-52.0,90.82,46,27,4.38,scattered clouds
532,Thiers,FR,45.8333,3.5,86.32,24,72,6.96,broken clouds
533,Puerto Madero,MX,14.7208,-92.4215,88.0,70,40,0.0,scattered clouds
534,Byron Bay,AU,-28.65,153.6167,57.7,75,36,10.56,scattered clouds
535,Primo Tapia,MX,32.22,-116.9172,72.99,70,88,4.85,overcast clouds
536,Kismayo,SO,-0.3582,42.5454,76.08,80,8,18.86,clear sky
537,Altay,CN,47.8667,88.1167,67.17,48,37,5.06,scattered clouds
538,Ayia Galini,GR,35.1,24.6833,87.75,33,0,8.99,clear sky
539,Peru,US,40.7537,-86.0689,76.6,89,100,3.44,overcast clouds
540,Kingaroy,AU,-26.5333,151.8333,52.43,85,99,2.95,overcast clouds
541,Huanuni,BO,-18.2667,-66.85,50.49,35,45,15.1,scattered clouds
542,Laguna,US,38.421,-121.4238,96.94,46,0,8.05,clear sky
543,Saint-Francois,FR,46.4154,3.9054,89.04,25,0,6.91,clear sky
544,Tezu,IN,27.9167,96.1667,77.63,98,68,2.59,broken clouds
545,Alihe,CN,50.5667,123.7167,64.94,97,98,1.05,overcast clouds
546,Edson,CA,53.5835,-116.4356,62.74,77,0,4.61,clear sky
547,Yang Talat,TH,16.3998,103.3679,86.97,83,61,7.34,broken clouds
548,Mecca,SA,21.4267,39.8261,91.08,27,85,8.66,overcast clouds
549,Murindo,CO,6.9848,-76.7544,88.36,63,92,2.8,overcast clouds
550,Angoche,MZ,-16.2325,39.9086,70.52,84,28,5.35,light rain
551,Kendallville,US,41.4414,-85.265,74.98,90,75,6.91,broken clouds
552,Ouesso,CG,1.6136,16.0517,74.41,92,86,2.48,light rain
553,Tulle,FR,45.3333,1.8333,87.98,21,93,7.58,overcast clouds
554,Avanigadda,IN,16.0215,80.9181,79.86,85,100,4.94,light rain
555,Brokopondo,SR,4.75,-55.1667,84.85,65,25,5.48,scattered clouds
556,Taltal,CL,-25.4,-70.4833,63.57,54,0,5.44,clear sky
557,Ponta Delgada,PT,37.7333,-25.6667,72.32,83,75,14.97,broken clouds
558,Roald,NO,62.5833,6.1333,60.91,82,75,21.85,broken clouds
559,Adrar,MR,20.5022,-10.0711,111.52,7,10,13.31,clear sky
560,Rypefjord,NO,70.6333,23.6667,48.67,100,75,11.5,broken clouds
561,Nalut,LY,30.3333,10.85,97.38,11,0,7.99,clear sky
562,Saijo,JP,33.9167,133.1833,77.16,78,100,5.95,light rain
563,Cabedelo,BR,-6.9811,-34.8339,77.67,80,43,18.97,scattered clouds
564,Lumajang,ID,-8.1335,113.2248,73.38,86,23,1.54,few clouds
565,Aswan,EG,24.0934,32.907,101.5,10,0,12.66,clear sky
566,Gazojak,TM,41.1875,61.4036,98.35,11,0,15.5,clear sky
567,Broome,US,42.2506,-75.833,88.02,53,0,6.91,clear sky
568,Awbari,LY,26.5921,12.7805,95.88,12,1,13.33,clear sky
569,Palana,RU,59.1167,159.9667,51.24,83,69,18.25,broken clouds
570,Chipiona,ES,36.7366,-6.437,92.3,69,0,11.5,clear sky
571,Alexandria,EG,31.2156,29.9553,80.56,69,0,11.5,clear sky
572,Ancud,CL,-41.8697,-73.8203,44.22,86,65,18.39,moderate rain
573,Gua Musang,MY,4.8823,101.9644,76.84,92,90,1.43,overcast clouds
574,Amurzet,RU,47.6967,131.0981,59.43,97,96,5.95,overcast clouds
575,Kuchinarai,TH,16.541,104.05,80.73,83,62,5.53,broken clouds
576,Dudinka,RU,69.4058,86.1778,58.62,68,89,3.06,overcast clouds
577,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,87,20,16.11,few clouds
578,Argostolion,GR,38.1811,20.489,91.47,40,0,11.5,clear sky
579,Monster,NL,52.0258,4.175,80.98,50,100,6.91,overcast clouds
580,Riverton,US,40.5219,-111.9391,98.51,29,0,13.8,clear sky
581,Kaeo,NZ,-35.1,173.7833,47.32,95,88,4.03,overcast clouds
582,Klaksvik,FO,62.2266,-6.589,50.92,84,78,24.05,broken clouds
583,Pointe Michel,DM,15.25,-61.3833,88.74,58,75,8.05,broken clouds
584,Fairbanks,US,64.8378,-147.7164,59.09,79,75,4.61,light rain
585,Broken Hill,AU,-31.95,141.4333,42.93,92,5,8.28,clear sky
586,Taoudenni,ML,22.6783,-3.9836,113.23,9,70,11.3,broken clouds
587,Bonavista,CA,48.6499,-53.1147,64.85,65,9,17.58,clear sky
588,Uyemskiy,RU,64.4743,40.8524,69.85,52,20,2.24,few clouds
589,Ndele,CF,8.4109,20.6473,70.79,97,100,4.36,overcast clouds
590,Weihe,CN,32.9952,105.3247,69.33,56,100,5.37,overcast clouds
591,Mehriz,IR,31.5917,54.4318,88.3,10,0,8.32,clear sky
592,Abilene,US,32.4487,-99.7331,98.28,27,0,6.91,clear sky
593,Jaru,BR,-10.4389,-62.4664,97.29,29,5,5.35,clear sky
594,Svetlyy,RU,54.675,20.1347,64.96,72,84,11.54,broken clouds
595,Talcahuano,CL,-36.7167,-73.1167,51.48,93,100,9.22,moderate rain
596,Gannan,CN,47.9147,123.5031,65.3,96,100,5.41,overcast clouds
597,Saint-Joseph,RE,-21.3667,55.6167,68.38,77,65,17.09,light rain
598,Mao,ES,39.8885,4.2658,88.36,48,0,5.75,clear sky
599,Ostrovnoy,RU,68.0531,39.5131,63.14,62,43,13.76,scattered clouds
600,San Carlos De Bariloche,AR,-41.1456,-71.3082,38.95,81,75,13.8,broken clouds
601,Onguday,RU,50.75,86.15,58.96,94,99,4.23,overcast clouds
602,Kalianget,ID,-7.05,113.9333,79.25,80,36,10.13,scattered clouds
603,Mabaruma,GY,8.2,-59.7833,83.75,78,34,4.81,scattered clouds
604,Puerto Escondido,MX,15.85,-97.0667,86.83,62,100,4.61,overcast clouds
605,Puerto Narino,CO,-3.7703,-70.3831,86.02,71,49,5.84,scattered clouds
606,Thinadhoo,MV,0.5333,72.9333,78.44,89,100,25.08,overcast clouds
607,The Pas,CA,53.8251,-101.2541,78.82,65,0,8.05,clear sky
608,Tremedal,BR,-14.9758,-41.4108,85.05,27,4,10.6,clear sky
609,Klyuchi,RU,52.2667,79.1667,64.0,58,2,15.37,clear sky
610,Tofield,CA,53.3668,-112.6686,69.28,72,100,2.75,overcast clouds
611,Tracy,US,37.7397,-121.4252,89.58,39,1,1.99,clear sky
612,Rorvik,NO,64.8621,11.2373,57.18,94,75,18.41,broken clouds
613,Maniitsoq,GL,65.4167,-52.9,42.64,93,100,15.17,moderate rain
614,Dindori,IN,22.95,81.0833,77.4,83,11,7.07,few clouds
615,Asfi,MA,32.2994,-9.2372,73.56,76,19,16.46,few clouds
616,Somerton,US,32.5964,-114.7097,104.0,38,0,13.8,clear sky
617,Pailon,BO,-17.65,-62.75,62.28,38,100,6.64,light rain
618,Mackay,AU,-21.15,149.2,61.68,91,8,9.24,clear sky
619,Chulman,RU,56.8479,124.9104,62.15,91,20,2.3,light rain
620,Matara,LK,5.9485,80.5353,79.16,86,100,9.33,overcast clouds
621,Vostok,RU,46.4856,135.8833,54.21,95,87,3.02,overcast clouds
622,Singaraja,ID,-8.112,115.0882,77.85,85,27,1.23,scattered clouds
623,Wajir,KE,1.7471,40.0573,79.59,47,53,17.18,broken clouds
624,Egvekinot,RU,66.3167,-179.1667,38.23,49,88,15.79,overcast clouds
625,Oistins,BB,13.0667,-59.5333,87.89,62,20,25.32,few clouds
626,Juneau,US,58.3019,-134.4197,55.22,98,100,13.8,moderate rain
627,Aksu,CN,41.1231,80.2644,80.6,27,0,8.14,clear sky
628,Kinshasa,CD,-4.3246,15.3215,87.31,37,15,4.45,few clouds
629,Ayia Trias,GR,38.35,22.9167,86.13,42,0,7.23,clear sky
630,Abbeville,FR,50.1,1.8333,85.48,16,72,8.55,broken clouds
631,Popondetta,PG,-8.7537,148.2534,72.77,87,44,2.95,scattered clouds
632,Voyvozh,RU,62.892,54.9635,64.29,59,5,2.35,clear sky
633,Ca Mau,VN,9.1769,105.15,78.4,90,69,3.89,broken clouds
634,Sisimiut,GL,66.9395,-53.6735,45.86,79,96,4.59,overcast clouds
635,Itupiranga,BR,-5.1347,-49.3267,98.92,29,26,4.18,scattered clouds
636,Syracuse,IT,37.0881,15.2792,87.39,58,0,6.46,clear sky
637,Pimentel,PE,-6.8367,-79.9342,70.09,60,0,13.8,clear sky
638,Port Augusta,AU,-32.5,137.7667,48.79,85,56,6.33,broken clouds
639,Sitrah,BH,26.1547,50.6206,98.82,66,9,6.91,clear sky
640,Flic En Flac,MU,-20.2742,57.3631,70.36,68,14,21.39,few clouds
641,Farrukhnagar,IN,17.0778,78.2011,73.11,91,100,15.17,overcast clouds
642,Ayotzintepec,MX,17.6667,-96.1333,85.59,58,100,3.91,overcast clouds
643,Saint-Georges,GD,12.0564,-61.7485,85.68,74,40,24.16,scattered clouds
644,Kitami,JP,43.8031,143.8908,65.37,98,89,6.13,overcast clouds
645,Susono,JP,35.2184,138.8817,69.19,95,88,2.3,overcast clouds
646,Libertador General San Martin,AR,-23.8064,-64.7876,63.97,33,0,4.41,clear sky
647,Iracoubo,GF,5.4802,-53.2011,82.24,72,81,6.53,broken clouds
648,Bamiantong,CN,44.9333,130.5333,62.92,96,100,2.98,overcast clouds
649,Luxor,EG,25.6989,32.6421,95.05,21,0,10.36,clear sky
650,Buzmeyin,TM,38.0507,58.2056,91.13,19,0,4.61,clear sky
651,Kaoma,ZM,-14.7833,24.8,59.97,37,3,6.29,clear sky
652,Rabo De Peixe,PT,37.8,-25.5833,71.11,83,75,14.97,broken clouds
653,Lakeway,US,30.3638,-97.9796,99.81,28,0,9.22,clear sky
654,Esso,RU,55.9333,158.7,55.58,86,40,5.41,scattered clouds
655,Nara,JP,34.6851,135.8049,80.49,58,72,3.51,light rain
656,Schruns,AT,47.0709,9.9475,80.42,46,1,6.49,clear sky
657,Obo,CF,5.3998,26.4869,77.61,66,96,2.33,overcast clouds
658,Yei,SS,4.095,30.6779,68.14,94,86,1.23,light rain
659,Waipawa,NZ,-41.4122,175.5153,50.77,73,95,20.29,overcast clouds
660,Topeka,US,39.0483,-95.678,88.11,74,75,11.5,broken clouds
661,Beringovskiy,RU,63.05,179.3167,53.02,68,71,30.38,broken clouds
662,Gravdal,NO,68.1214,13.5031,51.69,82,75,6.91,broken clouds
663,Khorramshahr,IR,30.4397,48.1664,105.75,16,0,4.61,clear sky
664,Severodvinsk,RU,64.5635,39.8302,69.91,71,97,4.25,light rain
665,Ankazobe,MG,-18.3167,47.1167,53.06,75,12,10.51,few clouds
666,Dalen,NL,52.6992,6.7556,78.01,52,97,4.0,overcast clouds
667,Westerland,DE,54.9079,8.3033,64.42,77,0,13.8,clear sky
668,Benicarlo,ES,40.4165,0.4271,93.9,51,0,6.93,clear sky
669,Dickinson,US,29.4608,-95.0513,97.02,58,20,4.0,few clouds
670,Isiro,CD,2.7739,27.616,71.11,89,52,1.1,light rain
671,Motegi,JP,36.5167,140.1833,74.26,96,64,2.73,broken clouds
672,Sioux Lookout,CA,50.1001,-91.917,82.47,51,40,11.5,scattered clouds
673,Farah,AF,32.5,62.5,94.75,8,3,3.31,clear sky
674,Marfino,RU,55.7028,37.3822,67.91,55,0,6.71,clear sky
675,Ostersund,SE,63.1792,14.6357,54.05,87,100,8.05,overcast clouds
676,Lat Yao,TH,15.751,99.7893,82.81,71,43,5.35,scattered clouds
677,Abu Kamal,SY,34.4506,40.9171,97.34,13,0,7.99,clear sky
678,Nouakchott,MR,18.0858,-15.9785,80.53,77,22,17.29,few clouds
679,Vikhorevka,RU,56.1201,101.1636,53.19,89,26,3.13,scattered clouds
680,Hong Gai,VN,20.956,107.0946,87.71,88,100,6.08,overcast clouds
681,Ilulissat,GL,69.2167,-51.1,59.02,38,20,11.5,few clouds
682,High Level,CA,58.5169,-117.136,69.91,73,40,4.61,scattered clouds
683,Louga,RU,58.7372,29.8453,55.22,95,99,4.32,light rain
684,Meadow Lake,US,34.8014,-106.5436,91.54,25,13,4.36,few clouds
685,Oktyabrskiy,RU,54.4815,53.471,67.6,81,100,1.83,overcast clouds
686,Yago,MX,21.8333,-105.0667,83.62,73,99,2.44,overcast clouds
687,Tupanatinga,BR,-8.7533,-37.3397,70.5,74,73,14.23,light rain
688,Antalaha,MG,-14.9003,50.2788,68.02,86,62,9.71,broken clouds
689,Puerto Del Rosario,ES,28.5004,-13.8627,76.75,73,20,20.71,few clouds
690,Bubaque,GW,11.2833,-15.8333,81.32,83,94,11.97,light rain
